date,air,auto,boat,bus,coach,cruise,total,train
20160201,0,2534,5749,6642,7884,0,35991,13182
20160202,0,2579,5806,6752,8024,0,36343,13182
20160203,0,2615,5853,6846,8134,0,36630,13182
20160204,0,2880,6198,7537,8960,0,38757,13182
20160205,0,3552,7071,9296,11041,0,44142,13182
20160206,0,3753,7336,9830,11674,0,45775,13182
20160207,0,3474,6971,9092,10803,0,43522,13182
20160208,0,3399,6875,8903,10573,0,42932,13182
20160209,0,2964,6307,7757,9219,0,39429,13182
20160210,0,2663,5915,6971,8280,0,37011,13182
20160211,0,2864,6179,7506,8911,0,38642,13182
20160212,0,3665,7220,9594,11396,0,45057,13182
20160213,0,4261,7995,11150,13248,0,49836,13182
20160214,0,3238,6664,8480,10067,0,41631,13182
20160215,0,2934,6267,7679,9124,0,39186,13182
20160216,0,2862,6174,7490,8903,0,38611,13182
20160217,0,2846,6151,7443,8846,0,38468,13182
20160218,0,2846,6151,7443,8847,0,38469,13182
20160219,0,3396,6870,8888,10564,0,42900,13182
20160220,0,3743,7320,9798,11635,0,45678,13182
20160221,0,2853,6164,7475,8877,0,38551,13182
20160222,0,2783,6071,7286,8654,0,37976,13182
20160223,0,2716,5984,7113,8445,0,37440,13182
20160224,0,3080,6456,8055,9574,0,40347,13182
20160225,0,2972,6315,7773,9240,0,39482,13182
20160226,0,3434,6917,8982,10677,0,43192,13182
20160227,0,3638,7186,9532,11314,0,44852,13182
20160228,0,2722,5993,7129,8469,0,37495,13182
20160229,0,2505,5707,6548,7790,0,35732,13182
20160301,0,2932,6265,7679,9114,0,39172,13182
20160302,0,2695,5956,7050,8383,0,37266,13182
20160303,0,2990,6344,7836,9304,0,39656,13182
20160304,0,3774,7362,9877,11738,0,45933,13182
20160305,0,3700,7266,9689,11506,0,45343,13182
20160306,0,2776,6062,7270,8631,0,37921,13182
20160307,0,2736,6009,7160,8508,0,37595,13182
20160308,0,2757,6038,7223,8574,0,37774,13182
20160309,0,3151,6549,8244,9798,0,40924,13182
20160310,0,3342,6799,8746,10394,0,42463,13182
20160311,0,4506,8314,11793,14008,0,51803,13182
20160312,0,4457,8251,11667,13858,0,51415,13182
20160313,0,4427,8213,11589,13769,0,51180,13182
20160314,0,4430,8218,11605,13776,0,51211,13182
20160315,0,4449,8242,11652,13835,0,51360,13182
20160316,0,4467,8266,11699,13893,0,51507,13182
20160317,0,3356,6816,8778,10436,0,42568,13182
20160318,0,3866,7484,10128,12024,0,46684,13182
20160319,0,4318,8071,11306,13427,0,50304,13182
20160320,0,3232,6657,8464,10053,0,41588,13182
20160321,0,4510,8321,11809,14026,0,51848,13182
20160322,0,3517,7026,9202,10938,0,43865,13182
20160323,0,4548,8369,11903,14139,0,52141,13182
20160324,0,3673,7229,9611,11419,0,45114,13182
20160325,0,4707,8578,12328,14634,0,53429,13182
20160326,0,4647,8500,12170,14451,0,52950,13182
20160327,0,4546,8367,11903,14130,0,52128,13182
20160328,0,2829,6133,7411,8802,0,38357,13182
20160329,0,2929,6260,7663,9107,0,39141,13182
20160330,0,4414,8196,11558,13727,0,51077,13182
20160331,0,4446,8236,11637,13823,0,51324,13182
20160401,0,4467,8265,11699,13889,0,51502,13182
20160402,0,4530,8345,11856,14083,0,51996,13182
20160403,0,4524,8339,11841,14070,0,51956,13182
20160404,0,4508,8316,11793,14015,0,51814,13182
20160405,0,4519,8335,11841,14053,0,51930,13182
20160406,0,4524,8338,11841,14064,0,51949,13182
20160407,0,4440,8230,11620,13811,0,51283,13182
20160408,0,4591,8428,12029,14279,0,52509,13182
20160409,0,4540,8360,11888,14119,0,52089,13182
20160410,0,4527,8343,11856,14076,0,51984,13182
20160411,0,4530,8345,11856,14082,0,51995,13182
20160412,0,4570,8399,11966,14210,0,52327,13182
20160413,0,4576,8407,11982,14229,0,52376,13182
20160414,0,4508,8316,11793,14015,0,51814,13182
20160415,0,4667,8524,12217,14506,0,53096,13182
20160416,0,4433,8220,11605,13783,0,51223,13182
20160417,0,4521,8336,11841,14058,0,51938,13182
20160418,0,4554,8376,11919,14156,0,52187,13182
20160419,0,4433,8219,11605,13778,0,51217,13182
20160420,0,4403,8181,11526,13692,0,50984,13182
