date,air,auto,boat,bus,coach,cruise,total,train
20160201,6459,904,0,405,1233,0,10377,1376
20160202,5651,920,0,412,1254,0,9613,1376
20160203,4938,933,0,417,1272,0,8936,1376
20160204,6785,1028,0,460,1401,0,11050,1376
20160205,7646,1267,0,567,1726,0,12582,1376
20160206,5399,1339,0,599,1825,0,10538,1376
20160207,6970,1240,0,554,1689,0,11829,1376
20160208,6964,1213,0,543,1653,0,11749,1376
20160209,6032,1058,0,473,1441,0,10380,1376
20160210,4997,950,0,425,1295,0,9043,1376
20160211,1443,1022,0,458,1393,0,5692,1376
20160212,7577,1308,0,585,1782,0,12628,1376
20160213,5973,1520,0,680,2071,0,11620,1376
20160214,7238,1155,0,517,1574,0,11860,1376
20160215,6890,1047,0,468,1426,0,11207,1376
20160216,6051,1021,0,457,1392,0,10297,1376
20160217,5105,1015,0,454,1383,0,9333,1376
20160218,6903,1015,0,454,1383,0,11131,1376
20160219,7507,1212,0,542,1652,0,12289,1376
20160220,5978,1335,0,598,1819,0,11106,1376
20160221,7238,1018,0,456,1388,0,11476,1376
20160222,6841,993,0,444,1353,0,11007,1376
20160223,5780,969,0,434,1320,0,9879,1376
20160224,5231,1099,0,491,1497,0,9694,1376
20160225,7022,1060,0,474,1445,0,11377,1376
20160226,7312,1225,0,548,1669,0,12130,1376
20160227,5841,1298,0,581,1769,0,10865,1376
20160228,7106,971,0,435,1324,0,11212,1376
20160229,6295,894,0,399,1218,0,10182,1376
20160301,5981,1046,0,468,1425,0,10296,1376
20160302,5365,962,0,430,1311,0,9444,1376
20160303,7019,1067,0,478,1455,0,11395,1376
20160304,7326,1347,0,602,1835,0,12486,1376
20160305,5857,1320,0,591,1799,0,10943,1376
20160306,7280,990,0,443,1349,0,11438,1376
20160307,6714,976,0,437,1330,0,10833,1376
20160308,6268,984,0,440,1340,0,10408,1376
20160309,5402,1125,0,503,1532,0,9938,1376
20160310,7239,1193,0,533,1625,0,11966,1376
20160311,7315,1608,0,719,2190,0,13208,1376
20160312,5734,1590,0,712,2167,0,11579,1376
20160313,7358,1580,0,707,2153,0,13174,1376
20160314,6745,1581,0,708,2154,0,12564,1376
20160315,6192,1587,0,711,2163,0,12029,1376
20160316,5384,1594,0,713,2172,0,11239,1376
20160317,7418,1197,0,535,1632,0,12158,1376
20160318,7336,1380,0,618,1880,0,12590,1376
20160319,6242,1541,0,690,2099,0,11948,1376
20160320,6684,1153,0,516,1572,0,11301,1376
20160321,6514,1610,0,720,2193,0,12413,1376
20160322,6723,1255,0,561,1710,0,11625,1376
20160323,5880,1623,0,726,2211,0,11816,1376
20160324,8155,1311,0,586,1785,0,13213,1376
20160325,8164,1679,0,752,2288,0,14259,1376
20160326,6812,1658,0,742,2260,0,12848,1376
20160327,7754,1622,0,726,2209,0,13687,1376
20160328,8577,1010,0,452,1376,0,12791,1376
20160329,8046,1045,0,467,1424,0,12358,1376
20160330,7739,1575,0,705,2146,0,13541,1376
20160331,8180,1587,0,710,2161,0,14014,1376
20160401,8533,1594,0,713,2172,0,14388,1376
20160402,7763,1616,0,723,2202,0,13680,1376
20160403,7214,1614,0,722,2200,0,13126,1376
20160404,7269,1609,0,719,2191,0,13164,1376
20160405,7642,1612,0,722,2197,0,13549,1376
20160406,7619,1614,0,722,2199,0,13530,1376
20160407,8948,1585,0,709,2159,0,14777,1376
20160408,8727,1638,0,734,2233,0,14708,1376
20160409,6444,1620,0,725,2208,0,12373,1376
20160410,9054,1615,0,723,2201,0,14969,1376
20160411,8855,1616,0,723,2202,0,14772,1376
20160412,7767,1631,0,730,2222,0,13726,1376
20160413,8164,1633,0,731,2225,0,14129,1376
20160414,8881,1609,0,719,2191,0,14776,1376
20160415,8949,1665,0,745,2268,0,15003,1376
20160416,7887,1582,0,708,2155,0,13708,1376
20160417,9180,1613,0,722,2198,0,15089,1376
20160418,9337,1625,0,727,2213,0,15278,1376
20160419,7882,1582,0,708,2154,0,13702,1376
20160420,7811,1571,0,703,2141,0,13602,1376
20160421,8890,1640,0,734,2234,0,14874,1376
20160422,9075,1655,0,740,2255,0,15101,1376
20160423,8151,1664,0,744,2267,0,14202,1376
20160424,8794,1623,0,726,2211,0,14730,1376
20160425,8714,1608,0,719,2190,0,14607,1376
20160426,7727,1613,0,722,2198,0,13636,1376
20160427,8061,1052,0,470,1433,0,12392,1376
20160428,8232,1190,0,532,1621,0,12951,1376
20160429,9154,1650,0,738,2248,0,15166,1376
20160430,8044,1635,0,732,2228,0,14015,1376
20160501,9175,1625,0,727,2214,0,15117,1376
20160502,9088,1623,0,726,2211,0,15024,1376
20160503,8193,1631,0,730,2222,0,14152,1376
20160504,8154,1652,0,739,2250,0,14171,1376
20160505,9414,1671,0,748,2276,1700,17185,1376
20160506,9418,1681,0,753,2291,0,15519,1376
20160507,8832,1634,0,731,2226,0,14799,1376
20160508,10321,1039,0,464,1416,2732,17348,1376
20160509,8380,1028,0,460,1401,0,12645,1376
20160510,6324,1125,0,503,1532,0,10860,1376
20160511,8482,1085,0,485,1478,0,12906,1376
20160512,8085,1126,0,504,1534,0,12625,1376
20160513,7795,1376,0,616,1874,0,13037,1376
20160514,8846,1582,0,708,2156,0,14668,1376
20160515,10409,1442,0,645,1965,0,15837,1376
20160516,9506,1193,0,533,1625,0,14233,1376
20160517,8278,1239,0,553,1687,1700,14833,1376
20160518,8179,1285,0,575,1751,24,13190,1376
20160519,9152,1356,0,606,1847,2732,17069,1376
20160520,9589,1540,0,689,2097,3203,18494,1376
20160521,9088,1553,0,694,2116,0,14827,1376
20160522,10139,1155,0,517,1575,0,14762,1376
20160523,9070,1215,0,543,1655,0,13859,1376
20160524,8317,1196,0,534,1629,0,13052,1376
20160525,8763,1455,0,651,1983,0,14228,1376
20160526,9233,1703,0,762,2321,0,15395,1376
20160527,9554,1680,0,752,2289,0,15651,1376
20160528,9668,1560,0,698,2125,0,15427,1376
20160529,10312,1263,0,565,1720,0,15236,1376
20160530,9153,1082,0,484,1475,0,13570,1376
20160531,8282,976,0,437,1330,0,12401,1376
20160601,8943,1083,0,484,1477,0,13363,1376
20160602,9429,1363,0,610,1857,0,14635,1376
20160603,9345,1431,0,641,1950,0,14743,1376
20160604,9350,1410,0,631,1921,0,14688,1376
20160605,10478,966,0,433,1318,0,14571,1376
20160606,9676,1019,0,456,1390,0,13917,1376
20160607,8238,1080,0,483,1471,0,12648,1376
20160608,9176,1140,0,510,1553,0,13755,1376
20160609,9596,1247,0,558,1700,1700,16177,1376
20160610,9744,1410,0,631,1922,0,15083,1376
20160611,9731,1438,0,644,1959,2757,17905,1376
20160612,10361,1171,0,524,1595,0,15027,1376
20160613,10000,1092,0,488,1489,3203,17648,1376
20160614,8193,1025,0,459,1397,0,12450,1376
20160615,8842,1045,0,467,1424,1652,14806,1376
20160616,9740,1269,0,568,1730,0,14683,1376
20160617,8010,1449,0,648,1975,0,13458,1376
20160618,9758,1454,0,650,1981,0,15219,1376
20160619,10969,1124,0,503,1531,0,15503,1376
20160620,10094,1136,0,508,1548,0,14662,1376
20160621,9161,1196,0,535,1629,0,13897,1376
20160622,9382,1338,0,598,1823,1700,16217,1376
20160623,9372,1419,0,635,1934,2732,17468,1376
20160624,9805,1540,0,689,2097,0,15507,1376
20160625,9996,1419,0,635,1934,0,15360,1376
20160626,10974,1186,0,530,1616,0,15682,1376
20160627,10386,1221,0,547,1664,0,15194,1376
20160628,8765,1156,0,517,1576,0,13390,1376
20160629,9009,1156,0,517,1576,0,13634,1376
20160630,10609,1201,0,537,1637,0,15360,1376
20160701,10442,1423,0,637,1938,0,15816,1376
20160702,10197,1465,0,655,1996,0,15689,1376
20160703,10899,1198,0,536,1633,0,15642,1376
20160704,10334,1242,0,555,1692,0,15199,1376
20160705,8067,1270,0,568,1731,0,13012,1376
20160706,9735,1346,0,602,1834,0,14893,1376
20160707,10451,1443,0,645,1966,3343,19224,1376
20160708,10430,1584,0,709,2158,2094,18351,1376
20160709,10275,1544,0,690,2104,0,15989,1376
20160710,11202,1360,0,609,1854,0,16401,1376
20160711,10208,1326,0,593,1806,0,15309,1376
20160712,9272,1417,0,634,1931,0,14630,1376
20160713,8851,1422,0,636,1937,0,14222,1376
20160714,10423,1564,0,700,2130,2532,18725,1376
20160715,10375,1518,0,679,2069,0,16017,1376
20160716,9891,1525,0,682,2078,2564,18116,1376
20160717,11418,1244,0,556,1696,0,16290,1376
20160718,9815,1300,0,581,1771,0,14843,1376
20160719,9349,1331,0,596,1813,2096,16561,1376
20160720,9463,1328,0,594,1809,0,14570,1376
20160721,10167,1410,0,631,1921,0,15505,1376
20160722,10277,1424,0,637,1939,0,15653,1376
20160723,9825,1472,0,659,2006,1951,17289,1376
20160724,10946,1224,0,548,1668,0,15762,1376
20160725,10212,1289,0,577,1757,0,15211,1376
20160726,9411,1310,0,586,1785,1894,16362,1376
20160727,9395,1327,0,594,1808,1300,15800,1376
20160728,10501,1450,0,649,1976,3814,19766,1376
20160729,10186,1399,0,625,1906,2094,17586,1376
20160730,10547,1404,0,628,1913,0,15868,1376
20160731,10551,1294,0,579,1764,3343,18907,1376
20160801,9687,1367,0,612,1862,0,14904,1376
20160802,9389,1352,0,605,1842,2096,16660,1376
20160803,10021,1335,0,598,1820,1921,17071,1376
20160804,10441,1374,0,615,1871,2532,18209,1376
20160805,10403,1414,0,633,1927,0,15753,1376
20160806,10416,1451,0,649,1977,0,15869,1376
20160807,10720,1374,0,615,1872,0,15957,1376
20160808,10176,1425,0,638,1942,0,15557,1376
20160809,9420,1422,0,636,1937,0,14791,1376
20160810,9561,1359,0,608,1852,0,14756,1376
20160811,10350,1390,0,621,1894,0,15631,1376
20160812,10340,1444,0,645,1967,0,15772,1376
20160813,10426,1491,0,667,2031,0,15991,1376
20160814,10741,1453,0,650,1980,0,16200,1376
20160815,9752,1330,0,595,1812,0,14865,1376
20160816,9165,1147,0,513,1563,0,13764,1376
20160817,9662,1188,0,531,1619,0,14376,1376
20160818,9937,1326,0,593,1807,0,15039,1376
20160819,10232,1381,0,618,1882,0,15489,1376
20160820,10593,1305,0,584,1778,0,15636,1376
20160821,10175,1139,0,509,1552,0,14751,1376
20160822,10215,1126,0,504,1533,0,14754,1376
20160823,9287,1195,0,534,1628,0,14020,1376
20160824,9386,1196,0,535,1629,0,14122,1376
20160825,9354,1235,0,552,1683,0,14200,1376
20160826,10496,1357,0,607,1849,0,15685,1376
20160827,10218,1401,0,626,1908,0,15529,1376
20160828,10558,1168,0,523,1592,1951,17168,1376
20160829,9919,1090,0,487,1486,0,14358,1376
20160830,9581,1085,0,485,1479,2096,16102,1376
20160831,9986,1092,0,488,1488,0,14430,1376
20160901,10578,1179,0,528,1607,0,15268,1376
20160902,10564,1459,0,653,1988,2564,18604,1376
20160903,10580,1469,0,657,2002,0,16084,1376
20160904,11072,1083,0,484,1476,0,15491,1376
20160905,10394,1109,0,496,1512,0,14887,1376
20160906,8778,1173,0,525,1600,0,13452,1376
