date,Air,Auto,Boat,Bus,Coach,Cruise,Total,Train
20160201,6459,3763,5999,7196,9559,0,46368,14559
20160202,5651,3830,6059,7314,9729,0,45956,14559
20160203,4938,3883,6107,7416,9862,0,45566,14559
20160204,6785,4278,6467,8165,10864,0,49807,14559
20160205,7646,5274,7379,10072,13387,0,56724,14559
20160206,5399,5573,7655,10649,14154,0,56313,14559
20160207,6970,5159,7274,9850,13098,0,55351,14559
20160208,6964,5047,7174,9645,12819,0,54681,14559
20160209,6032,4401,6581,8404,11178,0,49809,14559
20160210,4997,3955,6172,7552,10040,0,46054,14559
20160211,1443,4253,6448,8132,10805,0,44334,14559
20160212,7577,5442,7534,10395,13818,0,57685,14559
20160213,5973,6327,8342,12079,16062,0,61456,14559
20160214,7238,4807,6954,9187,12206,0,53491,14559
20160215,6890,4357,6540,8319,11063,0,50393,14559
20160216,6051,4250,6443,8114,10795,0,48908,14559
20160217,5105,4226,6418,8063,10725,0,47801,14559
20160218,6903,4226,6418,8063,10727,0,49600,14559
20160219,7507,5043,7168,9629,12809,0,55189,14559
20160220,5978,5558,7639,10615,14107,0,56784,14559
20160221,7238,4237,6432,8097,10763,0,50027,14559
20160222,6841,4134,6335,7893,10493,0,48983,14559
20160223,5780,4034,6244,7706,10240,0,47319,14559
20160224,5231,4573,6736,8727,11609,0,50041,14559
20160225,7022,4414,6590,8420,11203,0,50859,14559
20160226,7312,5100,7218,9730,12946,0,55322,14559
20160227,5841,5403,7499,10327,13718,0,55717,14559
20160228,7106,4042,6254,7723,10269,0,48707,14559
20160229,6295,3719,5955,7093,9445,0,45914,14559
20160301,5981,4353,6537,8319,11051,0,49468,14559
20160302,5365,4002,6215,7637,10165,0,46710,14559
20160303,7019,4440,6619,8488,11281,0,51051,14559
20160304,7326,5605,7682,10700,14233,0,58419,14559
20160305,5857,5494,7582,10497,13951,0,56286,14559
20160306,7280,4122,6326,7876,10465,0,49359,14559
20160307,6714,4062,6270,7757,10315,0,48428,14559
20160308,6268,4094,6301,7825,10396,0,48182,14559
20160309,5402,4680,6834,8931,11881,0,50862,14559
20160310,7239,4963,7094,9476,12602,0,54429,14559
20160311,7315,6691,8675,12776,16985,0,65011,14559
20160312,5734,6618,8610,12640,16803,0,62994,14559
20160313,7358,6574,8570,12555,16695,0,64354,14559
20160314,6745,6578,8575,12572,16702,0,63775,14559
20160315,6192,6606,8601,12624,16775,0,63389,14559
20160316,5384,6634,8625,12674,16846,0,62746,14559
20160317,7418,4983,7112,9509,12653,0,54726,14559
20160318,7336,5741,7809,10972,14579,0,59274,14559
20160319,6242,6412,8422,12249,16280,0,62252,14559
20160320,6684,4800,6946,9169,12190,0,52889,14559
20160321,6514,6697,8683,12793,17006,0,64261,14559
20160322,6723,5222,7332,9969,13262,0,55490,14559
20160323,5880,6753,8733,12895,17143,0,63957,14559
20160324,8155,5453,7543,10412,13846,0,58327,14559
20160325,8164,6990,8951,13355,17744,0,67688,14559
20160326,6812,6901,8870,13185,17522,0,65798,14559
20160327,7754,6750,8730,12895,17133,0,65815,14559
20160328,8577,4202,6400,8029,10672,0,51148,14559
20160329,8046,4349,6532,8302,11041,0,51499,14559
20160330,7739,6555,8552,12521,16644,0,64618,14559
20160331,8180,6602,8595,12606,16761,0,65338,14559
20160401,8533,6634,8625,12674,16840,0,65890,14559
20160402,7763,6726,8708,12844,17076,0,65676,14559
20160403,7214,6717,8701,12828,17060,0,65082,14559
20160404,7269,6693,8677,12776,16993,0,64978,14559
20160405,7642,6711,8697,12828,17040,0,65479,14559
20160406,7619,6717,8700,12828,17052,0,65479,14559
20160407,8948,6594,8588,12589,16745,0,66060,14559
20160408,8727,6817,8795,13031,17313,0,67217,14559
20160409,6444,6741,8724,12879,17119,0,64462,14559
20160410,9054,6722,8706,12844,17066,0,66953,14559
20160411,8855,6726,8708,12844,17074,0,66767,14559
20160412,7767,6785,8764,12964,17229,0,66053,14559
20160413,8164,6794,8772,12980,17252,0,66505,14559
20160414,8881,6693,8677,12776,16994,0,66590,14559
20160415,8949,6929,8894,13236,17588,0,68099,14559
20160416,7887,6582,8577,12572,16712,0,64931,14559
20160417,9180,6714,8698,12828,17045,0,67027,14559
20160418,9337,6762,8740,12913,17164,0,67465,14559
20160419,7882,6582,8576,12572,16706,0,64919,14559
20160420,7811,6538,8537,12488,16602,0,64586,14559
20160421,8890,6826,8798,13031,17324,0,67401,14559
20160422,9075,6885,8855,13151,17482,0,67964,14559
20160423,8151,6925,8888,13218,17576,0,67263,14559
20160424,8794,6753,8733,12895,17144,0,66872,14559
20160425,8714,6691,8675,12776,16980,0,66406,14559
20160426,7727,6714,8698,12828,17043,0,67579,14559
20160427,8061,4377,6558,8353,11116,0,53693,14559
20160428,8232,4951,7084,9458,12568,0,55354,14559
